AQ,GNF,MoreauBrotoAuto_Steric1,NT,NTG,QT,RQD,TGD,X_ChargeD3075,class_label
-0.481459148354,-0.145864991498,0.0889098314824,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,0.0500432052507,1
-0.481459148354,-0.145864991498,1.73374171391,-0.145864991498,-0.145864991498,-0.145864991498,6.7097896089,-0.145864991498,0.834218094278,1
-0.481459148354,-0.145864991498,0.222274578706,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,0.0500432052507,1
-0.481459148354,-0.145864991498,1.05421657329,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,0.0500432052507,1
-0.481459148354,-0.145864991498,0.596966011382,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,0.0500432052507,1
-0.481459148354,-0.145864991498,0.55886179789,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,0.0500432052507,1
-0.481459148354,-0.145864991498,-1.06691797779,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,0.0500432052507,1
-0.481459148354,-0.145864991498,0.55886179789,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,0.0500432052507,1
-0.481459148354,-0.145864991498,-0.00635070224874,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,0.0500432052507,1
-0.481459148354,-0.145864991498,0.55886179789,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,-1.51825168166,1
-0.481459148354,-0.145864991498,0.55886179789,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,0.0500432052507,1
-0.481459148354,-0.145864991498,0.55886179789,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,0.0500432052507,1
-0.481459148354,-0.145864991498,0.55886179789,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,0.0500432052507,1
-0.481459148354,-0.145864991498,1.86075575888,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,-0.145864991498,-1.51825168166,1
